"WALLET_HISTORY_SEQ","WALLET_ID","USER_ID","GUBUN","SORT","COIN_ID","AMOUNT","BALANCE","REASON","REASON_DETAIL","REG_DATE","REG_USER","UP_DATE","UP_USER","USE_FLAG"
"30233","WL2020091100008","dy9609202","I","2","HSS","26338.89376646","31550.53847769","입금","USD 상품 전송","2020-12-03 14:46:16","dy9609202","2020-12-03 15:47:52","dy9609202","N"
"30219","WL2020101600002","won005","I","2","HSS","35254.08348457","41669.64981382","입금","USD 상품 전송","2020-12-03 14:46:16","won005","2020-12-07 10:44:42","won005","N"
"30198","WL2020100700002","mayyun","I","2","HSS","47306.57042661","47327.05717947","입금","USD 상품 전송","2020-12-03 14:46:16","mayyun","2020-12-03 14:46:16","mayyun","N"
"30195","WL2020072000016","ndh4576","I","6","HSS","66.66666652","26766.69003503","마이닝청산","마이닝청산","2020-12-03 14:31:59","ndh4576",\n,\n,"Y"
"30194","WL2020071300837","ktsim1004","I","6","HSS","679.9999998","975.48173131","마이닝청산","마이닝청산","2020-12-03 14:31:19","ktsim1004",\n,\n,"Y"
"30193","WL2020082900004","gongdong6","I","6","HSS","180","547718.24559386","마이닝청산","마이닝청산","2020-12-03 14:10:24","gongdong6","2020-12-04 13:34:03","gongdong6","N"
"30192","WL2020073100004","good7","O","1","HSS","1335.489","0.00036167","출금","출금신청","2020-12-03 13:49:06","good7",\n,\n,"Y"
"30191","WL2020102100002","won007","O","1","HSS","50070","10159.1959326","출금","출금신청","2020-12-03 13:32:04","won007","2020-12-03 14:46:16","won007","N"
"30190","WL2020102100002","won007","I","6","HSS","60","60229.19593261","마이닝청산","마이닝청산","2020-12-03 13:31:50","won007","2020-12-03 13:32:04","won007","N"
"30189","WL2020102000002","won006","O","1","HSS","50070","6532.06313547","출금","출금신청","2020-12-03 13:31:24","won006","2020-12-03 14:46:16","won006","N"
"30188","WL2020101600002","won005","O","1","HSS","50070","6415.56632925","출금","출금신청","2020-12-03 13:30:34","won005","2020-12-03 14:46:16","won005","N"
"30187","WL2020082800018","won003","I","6","HSS","106.6666664","841.07991344","마이닝청산","마이닝청산","2020-12-03 13:29:33","won003","2020-12-03 14:46:16","won003","N"
"30186","WL2020101000002","gogohss","O","1","HSS","50070","92292.68365368","출금","출금신청","2020-12-03 13:29:10","gogohss","2020-12-05 00:04:36","gogohss","N"
"30185","WL2020071400040","lsj230","I","6","HSS","1786.6666664","3866.22142387","마이닝청산","마이닝청산","2020-12-03 13:24:51","lsj230",\n,\n,"Y"
"30184","WL2020111600010","koreatop1","O","1","HSS","50070","74086.67497167","출금","출금신청","2020-12-03 13:05:06","koreatop1","2020-12-04 02:17:33","koreatop1","N"
"30183","WL2020071301178","hwa23260","I","6","HSS","4620","39388.21149999","마이닝청산","마이닝청산","2020-12-03 12:30:24","hwa23260","2020-12-04 15:08:58","hwa23260","N"
"30182","WL2020111600036","asd002","O","1","HSS","10046","0.87173722","출금","출금신청","2020-12-03 11:47:21","asd002","2020-12-04 10:48:04","asd002","N"
"30181","WL2020111600032","asd001","O","1","HSS","12147","0.16738357","출금","출금신청","2020-12-03 11:46:23","asd001","2020-12-04 10:47:33","asd001","N"
"30180","WL2020071301112","a43410000","I","6","HSS","5333.33334","5333.96973998","마이닝청산","마이닝청산","2020-12-03 11:06:16","a43410000","2020-12-04 20:06:02","a43410000","N"
"30179","WL2020111600028","swh8880","I","1","HSS","11788.78428162","165675.62543858","송금","크립토출금요청","2020-12-03 10:21:10","swh8880","2020-12-03 15:25:45","swh8880","N"
"30178","WL2020071300865","ljs36","I","6","HSS","6.66666666","354.21657951","마이닝청산","마이닝청산","2020-12-03 09:33:31","ljs36","2020-12-05 09:36:26","ljs36","N"
